,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr_init,lstm_unit,Objective
0,1,INTERMEDIATE,1,128.0,279.0,347.0,0.002422992146693263,198.0,0.8090038741076434
1,1,COMPLETED,1,128.0,279.0,347.0,0.002422992146693263,198.0,0.8090038741076434
2,2,INTERMEDIATE,1,64.0,332.0,509.0,0.0031166544254813337,205.0,0.7883809937371148
3,2,COMPLETED,1,64.0,332.0,509.0,0.0031166544254813337,205.0,0.7883809937371148
4,3,INTERMEDIATE,1,64.0,409.0,467.0,0.0005979058700011516,115.0,0.8909074288827402
5,3,COMPLETED,1,64.0,409.0,467.0,0.0005979058700011516,115.0,0.8909074288827402
6,4,INTERMEDIATE,1,128.0,451.0,316.0,0.003407552455000627,150.0,0.8392958795582807
7,4,COMPLETED,1,128.0,451.0,316.0,0.003407552455000627,150.0,0.8392958795582807
8,5,INTERMEDIATE,1,64.0,452.0,289.0,0.0017990563557665068,54.0,0.9216182629267374
9,5,COMPLETED,1,64.0,452.0,289.0,0.0017990563557665068,54.0,0.9216182629267374
10,6,INTERMEDIATE,1,256.0,286.0,293.0,0.004535136576346393,22.0,0.926071184652823
11,6,COMPLETED,1,256.0,286.0,293.0,0.004535136576346393,22.0,0.926071184652823
12,7,INTERMEDIATE,1,64.0,285.0,362.0,0.0011789008922083385,199.0,0.8517181211047702
13,7,COMPLETED,1,64.0,285.0,362.0,0.0011789008922083385,199.0,0.8517181211047702
14,8,INTERMEDIATE,1,256.0,443.0,312.0,0.001897475574160901,142.0,0.94635984632704
15,8,COMPLETED,1,256.0,443.0,312.0,0.001897475574160901,142.0,0.94635984632704
16,9,INTERMEDIATE,1,256.0,434.0,385.0,0.0007006230442065282,171.0,0.9502962474469785
17,9,COMPLETED,1,256.0,434.0,385.0,0.0007006230442065282,171.0,0.9502962474469785
18,10,INTERMEDIATE,1,64.0,271.0,343.0,0.001487272414348656,195.0,0.8307219920334993
19,10,COMPLETED,1,64.0,271.0,343.0,0.001487272414348656,195.0,0.8307219920334993
20,11,INTERMEDIATE,1,64.0,334.0,512.0,0.0029979231026373565,203.0,0.8502620502754494
21,11,COMPLETED,1,64.0,334.0,512.0,0.0029979231026373565,203.0,0.8502620502754494
22,12,INTERMEDIATE,1,64.0,331.0,508.0,0.0031571016204439742,206.0,0.8180413753898056
23,12,COMPLETED,1,64.0,331.0,508.0,0.0031571016204439742,206.0,0.8180413753898056
24,13,INTERMEDIATE,1,128.0,276.0,346.0,0.002097201602167371,197.0,0.8785330631114818
25,13,COMPLETED,1,128.0,276.0,346.0,0.002097201602167371,197.0,0.8785330631114818
26,14,INTERMEDIATE,1,128.0,452.0,315.0,0.003817578731635515,154.0,0.7375906816235295
27,14,COMPLETED,1,128.0,452.0,315.0,0.003817578731635515,154.0,0.7375906816235295
28,15,INTERMEDIATE,1,256.0,448.0,303.0,0.0030908499699769183,161.0,0.9230089629137957
29,15,COMPLETED,1,256.0,448.0,303.0,0.0030908499699769183,161.0,0.9230089629137957
30,16,INTERMEDIATE,1,128.0,282.0,348.0,0.0027644738246345633,199.0,0.9024122070383143
31,16,COMPLETED,1,128.0,282.0,348.0,0.0027644738246345633,199.0,0.9024122070383143
32,17,INTERMEDIATE,1,128.0,452.0,316.0,0.0038882744307925238,154.0,0.8213509232909592
33,17,COMPLETED,1,128.0,452.0,316.0,0.0038882744307925238,154.0,0.8213509232909592
34,18,INTERMEDIATE,1,128.0,452.0,315.0,0.003791691016553555,154.0,0.8653819561004639
35,18,COMPLETED,1,128.0,452.0,315.0,0.003791691016553555,154.0,0.8653819561004639
36,19,INTERMEDIATE,1,128.0,452.0,315.0,0.0038394754053473613,154.0,0.8673940499623617
37,19,COMPLETED,1,128.0,452.0,315.0,0.0038394754053473613,154.0,0.8673940499623617
38,20,INTERMEDIATE,1,128.0,452.0,315.0,0.0038275381626466064,154.0,0.8763687434019866
39,20,COMPLETED,1,128.0,452.0,315.0,0.0038275381626466064,154.0,0.8763687434019866
40,21,INTERMEDIATE,1,64.0,332.0,509.0,0.003127267040075058,205.0,0.684747024818703
41,21,COMPLETED,1,64.0,332.0,509.0,0.003127267040075058,205.0,0.684747024818703
42,22,INTERMEDIATE,1,64.0,332.0,509.0,0.003126745334858094,205.0,0.6742125352223715
43,22,COMPLETED,1,64.0,332.0,509.0,0.003126745334858094,205.0,0.6742125352223715
44,23,INTERMEDIATE,1,64.0,454.0,322.0,0.002830010303472742,169.0,0.8260217022012781
45,23,COMPLETED,1,64.0,454.0,322.0,0.002830010303472742,169.0,0.8260217022012781
46,24,INTERMEDIATE,1,64.0,270.0,342.0,0.002027060770915727,193.0,0.7926508784294128
47,24,COMPLETED,1,64.0,270.0,342.0,0.002027060770915727,193.0,0.7926508784294128
48,25,INTERMEDIATE,1,64.0,322.0,505.0,0.003916283904453469,210.0,0.880200845223886
49,25,COMPLETED,1,64.0,322.0,505.0,0.003916283904453469,210.0,0.880200845223886
50,26,INTERMEDIATE,1,128.0,454.0,312.0,0.003136432018033577,145.0,0.8867197919774938
51,26,COMPLETED,1,128.0,454.0,312.0,0.003136432018033577,145.0,0.8867197919774938
52,27,INTERMEDIATE,1,128.0,459.0,318.0,0.0005199821431097207,174.0,0.8883645799424913
53,27,COMPLETED,1,128.0,459.0,318.0,0.0005199821431097207,174.0,0.8883645799424913
54,28,INTERMEDIATE,1,64.0,444.0,319.0,0.0012595368133735932,160.0,0.8440250776432179
55,28,COMPLETED,1,64.0,444.0,319.0,0.0012595368133735932,160.0,0.8440250776432179
56,29,INTERMEDIATE,1,64.0,449.0,321.0,0.0023216715362085654,162.0,0.7591742696585478
57,29,COMPLETED,1,64.0,449.0,321.0,0.0023216715362085654,162.0,0.7591742696585478
58,30,INTERMEDIATE,1,64.0,350.0,511.0,0.0014038629305919948,209.0,0.8535574586303146
59,30,COMPLETED,1,64.0,350.0,511.0,0.0014038629305919948,209.0,0.8535574586303146
60,31,INTERMEDIATE,1,128.0,330.0,502.0,0.004067782196806571,201.0,0.6450005504820082
61,31,COMPLETED,1,128.0,330.0,502.0,0.004067782196806571,201.0,0.6450005504820082
62,32,INTERMEDIATE,1,128.0,330.0,502.0,0.0040677636202663976,201.0,0.8592825774793271
63,32,COMPLETED,1,128.0,330.0,502.0,0.0040677636202663976,201.0,0.8592825774793271
64,33,INTERMEDIATE,1,64.0,333.0,495.0,0.0008610074292395632,199.0,0.8580208089616563
65,33,COMPLETED,1,64.0,333.0,495.0,0.0008610074292395632,199.0,0.8580208089616563
66,34,INTERMEDIATE,1,64.0,266.0,344.0,0.0015837791491307076,199.0,0.6343820249592816
67,34,COMPLETED,1,64.0,266.0,344.0,0.0015837791491307076,199.0,0.6343820249592816
68,35,INTERMEDIATE,1,64.0,332.0,509.0,0.003128034263260076,205.0,0.8276142323458636
69,35,COMPLETED,1,64.0,332.0,509.0,0.003128034263260076,205.0,0.8276142323458636
70,36,INTERMEDIATE,1,64.0,261.0,344.0,0.004220571878732916,187.0,0.7967872774159467
71,36,COMPLETED,1,64.0,261.0,344.0,0.004220571878732916,187.0,0.7967872774159467
72,37,INTERMEDIATE,1,64.0,262.0,337.0,0.0012324623129067384,191.0,0.8286424190909775
73,37,COMPLETED,1,64.0,262.0,337.0,0.0012324623129067384,191.0,0.8286424190909775
74,38,INTERMEDIATE,1,128.0,453.0,327.0,0.002547205531959137,165.0,0.898911820517646
75,38,COMPLETED,1,128.0,453.0,327.0,0.002547205531959137,165.0,0.898911820517646
76,39,INTERMEDIATE,1,256.0,330.0,512.0,0.002474414243201819,215.0,0.9244298272662692
77,39,COMPLETED,1,256.0,330.0,512.0,0.002474414243201819,215.0,0.9244298272662692
78,40,INTERMEDIATE,1,64.0,332.0,508.0,0.003292295861243086,204.0,0.8687377152619539
79,40,COMPLETED,1,64.0,332.0,508.0,0.003292295861243086,204.0,0.8687377152619539
80,41,INTERMEDIATE,1,64.0,300.0,400.0,0.0013677860530139463,25.0,0.9321705809345951
81,41,COMPLETED,1,64.0,300.0,400.0,0.0013677860530139463,25.0,0.9321705809345951
82,42,INTERMEDIATE,1,128.0,430.0,456.0,0.00457477179124954,65.0,0.9195090267393324
83,42,COMPLETED,1,128.0,430.0,456.0,0.00457477179124954,65.0,0.9195090267393324
84,43,INTERMEDIATE,1,256.0,389.0,261.0,0.003973925869965831,100.0,0.9131255944569906
85,43,COMPLETED,1,256.0,389.0,261.0,0.003973925869965831,100.0,0.9131255944569906
86,44,INTERMEDIATE,1,128.0,281.0,272.0,0.0034192203076436637,57.0,0.9539754743929263
87,44,COMPLETED,1,128.0,281.0,272.0,0.0034192203076436637,57.0,0.9539754743929263
88,45,INTERMEDIATE,1,256.0,279.0,374.0,0.004088774252814913,123.0,0.937206643599051
89,45,COMPLETED,1,256.0,279.0,374.0,0.004088774252814913,123.0,0.937206643599051
90,46,INTERMEDIATE,1,64.0,270.0,342.0,0.0020259831441140075,193.0,0.8555157802723072
91,46,COMPLETED,1,64.0,270.0,342.0,0.0020259831441140075,193.0,0.8555157802723072
92,47,INTERMEDIATE,1,64.0,441.0,300.0,0.004296566209868,133.0,0.9637064933776855
93,47,COMPLETED,1,64.0,441.0,300.0,0.004296566209868,133.0,0.9637064933776855
94,48,INTERMEDIATE,1,64.0,331.0,506.0,0.0036013320057569826,203.0,0.8354606186902082
95,48,COMPLETED,1,64.0,331.0,506.0,0.0036013320057569826,203.0,0.8354606186902082
96,49,INTERMEDIATE,1,256.0,441.0,316.0,0.0032514671605634467,163.0,0.9249292347166274
97,49,COMPLETED,1,256.0,441.0,316.0,0.0032514671605634467,163.0,0.9249292347166274
98,50,INTERMEDIATE,1,128.0,447.0,322.0,0.004151253829390706,149.0,0.9272771367320308
99,50,COMPLETED,1,128.0,447.0,322.0,0.004151253829390706,149.0,0.9272771367320308
100,51,INTERMEDIATE,1,64.0,332.0,506.0,0.003600495816157894,203.0,0.8309012033321239
101,51,COMPLETED,1,64.0,332.0,506.0,0.003600495816157894,203.0,0.8309012033321239
102,52,INTERMEDIATE,1,128.0,330.0,502.0,0.004067711377470074,201.0,0.82730707415828
103,52,COMPLETED,1,128.0,330.0,502.0,0.004067711377470074,201.0,0.82730707415828
104,53,INTERMEDIATE,1,64.0,332.0,507.0,0.0035323378583024066,203.0,0.8577428482196949
105,53,COMPLETED,1,64.0,332.0,507.0,0.0035323378583024066,203.0,0.8577428482196949
106,54,INTERMEDIATE,1,128.0,452.0,316.0,0.003843863726559762,154.0,0.886096751248395
107,54,COMPLETED,1,128.0,452.0,316.0,0.003843863726559762,154.0,0.886096751248395
108,55,INTERMEDIATE,1,128.0,452.0,314.0,0.0037888357496027657,154.0,0.9630252564394916
109,55,COMPLETED,1,128.0,452.0,314.0,0.0037888357496027657,154.0,0.9630252564394916
110,56,INTERMEDIATE,1,256.0,446.0,373.0,0.001247783257057703,186.0,0.939606922644156
111,56,COMPLETED,1,256.0,446.0,373.0,0.001247783257057703,186.0,0.939606922644156
112,57,INTERMEDIATE,1,128.0,309.0,280.0,0.0030694522208779265,60.0,0.9033271339204576
113,57,COMPLETED,1,128.0,309.0,280.0,0.0030694522208779265,60.0,0.9033271339204576
114,58,INTERMEDIATE,1,256.0,415.0,294.0,0.004930955923579816,56.0,0.8841300054832741
115,58,COMPLETED,1,256.0,415.0,294.0,0.004930955923579816,56.0,0.8841300054832741
116,59,INTERMEDIATE,1,128.0,284.0,464.0,0.0017417973945356826,59.0,0.9682802712475812
117,59,COMPLETED,1,128.0,284.0,464.0,0.0017417973945356826,59.0,0.9682802712475812
118,60,INTERMEDIATE,1,128.0,483.0,324.0,0.0042418006245924155,152.0,0.8959629623978226
119,60,COMPLETED,1,128.0,483.0,324.0,0.0042418006245924155,152.0,0.8959629623978226
120,61,INTERMEDIATE,1,128.0,413.0,396.0,0.0008639228620253338,114.0,0.9593048228157891
121,61,COMPLETED,1,128.0,413.0,396.0,0.0008639228620253338,114.0,0.9593048228157891
122,62,INTERMEDIATE,1,256.0,493.0,257.0,0.004798553860112098,33.0,0.8772645173249422
123,62,COMPLETED,1,256.0,493.0,257.0,0.004798553860112098,33.0,0.8772645173249422
124,63,INTERMEDIATE,1,64.0,409.0,499.0,0.004568831275098991,31.0,0.8581306978508279
125,63,COMPLETED,1,64.0,409.0,499.0,0.004568831275098991,31.0,0.8581306978508279
126,64,INTERMEDIATE,1,64.0,434.0,298.0,0.0017624526531268456,127.0,0.9147058107234813
127,64,COMPLETED,1,64.0,434.0,298.0,0.0017624526531268456,127.0,0.9147058107234813
128,65,INTERMEDIATE,1,64.0,256.0,347.0,0.0015390740539713665,230.0,1.0001610031834356
129,65,COMPLETED,1,64.0,256.0,347.0,0.0015390740539713665,230.0,1.0001610031834356
130,66,INTERMEDIATE,1,128.0,332.0,506.0,0.003755737643449633,202.0,0.9311567809846666
131,66,COMPLETED,1,128.0,332.0,506.0,0.003755737643449633,202.0,0.9311567809846666
132,67,INTERMEDIATE,1,256.0,353.0,329.0,0.0014391977548455165,233.0,0.9330385614324499
133,67,COMPLETED,1,256.0,353.0,329.0,0.0014391977548455165,233.0,0.9330385614324499
134,68,INTERMEDIATE,1,128.0,400.0,398.0,0.0013339661222913014,22.0,0.9091236458884345
135,68,COMPLETED,1,128.0,400.0,398.0,0.0013339661222913014,22.0,0.9091236458884345
136,69,INTERMEDIATE,1,64.0,331.0,507.0,0.0022544742577054787,207.0,0.8057075253239384
137,69,COMPLETED,1,64.0,331.0,507.0,0.0022544742577054787,207.0,0.8057075253239384
138,70,INTERMEDIATE,1,64.0,266.0,344.0,0.001584655504265623,199.0,0.8291460275650024
139,70,COMPLETED,1,64.0,266.0,344.0,0.001584655504265623,199.0,0.8291460275650024
140,71,INTERMEDIATE,1,64.0,270.0,342.0,0.0018625088671822307,194.0,0.6614959924309342
141,71,COMPLETED,1,64.0,270.0,342.0,0.0018625088671822307,194.0,0.6614959924309342
142,72,INTERMEDIATE,1,64.0,266.0,343.0,0.0017804346692571248,196.0,0.8466678504590635
143,72,COMPLETED,1,64.0,266.0,343.0,0.0017804346692571248,196.0,0.8466678504590635
144,73,INTERMEDIATE,1,64.0,266.0,343.0,0.0018009633900559457,195.0,0.8633877480471576
145,73,COMPLETED,1,64.0,266.0,343.0,0.0018009633900559457,195.0,0.8633877480471576
146,74,INTERMEDIATE,1,128.0,334.0,492.0,0.004725114855888758,198.0,0.9508971638149686
147,74,COMPLETED,1,128.0,334.0,492.0,0.004725114855888758,198.0,0.9508971638149686
148,75,INTERMEDIATE,1,64.0,267.0,343.0,0.0018181923334066223,196.0,0.8417619466781616
149,75,COMPLETED,1,64.0,267.0,343.0,0.0018181923334066223,196.0,0.8417619466781616
150,76,INTERMEDIATE,1,64.0,267.0,343.0,0.001824127960411284,196.0,0.8403659794065688
151,76,COMPLETED,1,64.0,267.0,343.0,0.001824127960411284,196.0,0.8403659794065688
152,77,INTERMEDIATE,1,64.0,332.0,509.0,0.003064762462733545,205.0,0.8103987817411069
153,77,COMPLETED,1,64.0,332.0,509.0,0.003064762462733545,205.0,0.8103987817411069
154,78,INTERMEDIATE,1,64.0,332.0,509.0,0.003068732132175599,205.0,0.8237833623532895
155,78,COMPLETED,1,64.0,332.0,509.0,0.003068732132175599,205.0,0.8237833623532895
156,79,INTERMEDIATE,1,64.0,270.0,342.0,0.0018538510148819658,194.0,0.8529898899572866
157,79,COMPLETED,1,64.0,270.0,342.0,0.0018538510148819658,194.0,0.8529898899572866
158,80,INTERMEDIATE,1,64.0,332.0,509.0,0.003063148246636578,205.0,0.8560412504054882
159,80,COMPLETED,1,64.0,332.0,509.0,0.003063148246636578,205.0,0.8560412504054882
160,81,INTERMEDIATE,1,64.0,270.0,342.0,0.0018564962215247439,194.0,0.811333007282681
161,81,COMPLETED,1,64.0,270.0,342.0,0.0018564962215247439,194.0,0.811333007282681
162,82,INTERMEDIATE,1,64.0,266.0,344.0,0.0015799362122586335,199.0,0.8756001083939163
